Sample	Group	Tissue	Genotype
B1_L	Neg_leaf_S1	Leaf	Negative
B10_L	Neg_leaf_S1	Leaf	Negative
B11_L	Neg_leaf_S1	Leaf	Negative
B15_L	Neg_leaf_S2	Leaf	Negative
B23_L	Neg_leaf_S2	Leaf	Negative
B24_L	Neg_leaf_S2	Leaf	Negative
B3_L	Pos_leaf_S1	Leaf	Positive
B4_L	Pos_leaf_S1	Leaf	Positive
B7_L	Pos_leaf_S1	Leaf	Positive
B9_L	Pos_leaf_S2	Leaf	Positive
B13_L	Pos_leaf_S2	Leaf	Positive
B14_L	Pos_leaf_S2	Leaf	Positive
B39_L	Oexpr_leaf	Leaf	Overexpression
B40_L	Oexpr_leaf	Leaf	Overexpression
B41_L	Oexpr_leaf	Leaf	Overexpression
B10_3d	Neg_silique_3d	Silique	Negative
B11_3d	Neg_silique_3d	Silique	Negative
B24_3d	Neg_silique_3d	Silique	Negative
B10_7d	Neg_silique_7d	Silique	Negative
B11_7d	Neg_silique_7d	Silique	Negative
B24_7d	Neg_silique_7d	Silique	Negative
B7_3d	Pos_silique_3d	Silique	Positive
B13_3d	Pos_silique_3d	Silique	Positive
B14_3d	Pos_silique_3d	Silique	Positive
B7_7d	Pos_silique_7d	Silique	Positive
B13_7d	Pos_silique_7d	Silique	Positive
B14_7d	Pos_silique_7d	Silique	Positive
